temp_c,vibration,pressure_kpa,power_kw,flow_lpm
72.9,0.1,231.9,53.19,140.4
65.9,2.11,80.0,11.25,269.6
48.4,2.308,290.0,39.43,140.9
45.6,3.398,290.2,16.05,111.8
69.9,3.413,292.4,66.73,219.1
55.6,5.49,420.0,28.61,279.0
20.0,4.687,180.4,49.04,204.7
71.4,1.822,80.0,24.23,188.8
75.5,0.1,166.5,61.16,154.8
66.4,1.407,179.0,108.91,199.1
35.8,2.949,148.5,53.15,156.5
