area_m2,rooms,floor,distance_center_km,year_built,schools_1km,parks_1km,metro_minutes,renovation_score,noise_db,target
62.3,2,3,5.04,2014,3,0,20.9,7.6,67.4,14.103
63.3,3,9,6.44,1986,0,1,12.6,6.2,48.2,1.836
66.9,2,2,3.03,2001,1,1,8.3,7.7,54.7,1.5
70.5,5,5,10.12,1968,0,2,12.0,7.2,60.0,6.505
67.1,2,7,4.15,1991,1,2,26.5,6.5,63.0,8.419
64.9,2,8,13.18,1978,2,0,11.9,4.8,55.1,6.18
30.8,2,5,7.03,1989,1,2,20.1,6.3,49.5,4.074
71.6,4,8,5.23,1975,2,0,23.2,6.5,56.2,10.409
68.0,4,10,8.73,1950,2,3,16.0,5.3,56.7,4.666
35.2,3,7,6.28,2003,2,1,24.3,4.7,59.8,8.046
82.0,1,7,17.15,1990,0,2,15.7,9.3,69.0,10.866
63.3,2,12,4.92,2004,1,0,19.1,6.0,56.0,4.964
70.6,3,6,0.5,2002,1,0,25.9,6.8,49.3,5.674
75.6,3,12,10.29,2000,2,1,16.4,4.5,59.4,11.068
86.9,3,2,8.28,1978,2,1,14.9,4.1,56.2,4.06
47.1,2,1,13.13,2008,3,1,20.8,3.6,48.8,13.373
37.2,3,11,12.55,2009,1,4,15.9,5.9,50.2,9.59
94.3,3,9,12.35,1973,4,2,13.5,7.1,51.7,14.79
37.7,2,6,12.56,2021,2,2,26.2,4.7,51.2,15.348
34.6,3,12,4.42,2002,2,2,9.8,6.0,48.7,1.5
28.9,3,13,8.88,1977,4,4,13.3,7.7,47.6,10.074
62.5,4,7,10.28,2018,3,2,22.5,7.2,52.1,19.578
33.8,3,6,16.75,2010,0,1,24.2,7.3,61.9,16.073
67.8,2,3,5.18,1984,3,2,26.9,6.4,45.8,11.364
66.9,3,11,6.1,1966,1,0,21.2,7.1,48.5,8.106
49.4,2,7,10.32,2002,1,1,12.8,4.3,59.0,4.129
38.9,3,6,8.55,1986,0,0,15.5,7.5,56.0,5.926
69.0,4,12,9.95,1957,3,0,21.1,3.8,55.8,10.984
96.9,1,11,13.46,2014,4,0,4.7,4.7,54.1,8.73
92.7,1,9,6.03,2016,3,0,23.7,4.1,49.7,11.298
55.5,1,6,17.56,2001,1,1,14.0,5.7,49.5,9.316
34.1,2,6,7.53,1992,2,2,25.6,6.5,56.6,8.632
51.1,4,10,15.37,2000,0,2,19.7,4.3,48.1,12.152
79.0,2,2,2.93,1983,2,2,15.5,5.3,51.4,3.033
74.6,1,7,9.24,1997,1,0,12.2,5.0,49.8,1.5
86.2,2,5,4.25,2008,4,2,12.7,7.2,56.0,10.685
63.9,2,4,8.01,2005,2,2,21.6,6.8,48.8,11.047
48.0,3,12,13.85,1991,1,1,18.9,5.8,45.6,12.411
88.6,3,5,3.74,2006,1,1,20.9,6.8,58.3,8.0
54.5,3,12,5.76,1991,0,3,16.7,6.8,43.8,2.703
63.2,3,9,9.35,1994,0,3,28.0,5.6,47.3,8.673
22.3,1,9,18.1,2008,0,5,18.0,7.7,54.5,11.636
64.4,2,7,3.4,1978,2,2,3.2,4.2,60.5,1.5
81.1,4,10,14.04,2019,2,4,15.5,7.7,46.4,18.032
33.9,3,11,7.23,1989,0,3,8.6,7.2,50.0,1.5
47.5,1,10,6.53,2024,0,2,19.4,5.8,41.6,3.383
32.7,2,2,18.38,2012,2,2,7.1,7.0,57.1,10.357
89.7,3,8,10.99,2008,3,0,21.1,9.2,45.5,19.98
54.8,2,11,4.7,1991,4,3,25.1,5.7,52.1,11.196
87.7,5,4,7.7,1997,1,1,14.2,6.0,53.7,8.977
74.6,3,11,7.87,2008,0,0,9.7,5.4,58.9,1.5
71.5,5,4,9.79,2000,3,4,12.4,6.0,41.6,13.426
85.3,3,6,9.51,2006,2,1,13.1,6.0,48.4,10.379
77.3,2,7,15.52,1985,3,0,25.5,5.6,54.8,19.564
71.7,2,6,6.2,2017,0,1,25.6,5.5,46.5,9.422
67.9,4,2,15.79,1983,0,1,16.2,9.6,49.9,14.175
76.4,3,7,8.69,1963,1,0,7.1,6.2,51.6,1.5
58.2,1,8,16.32,1981,1,1,7.1,8.2,63.2,6.992
68.0,2,13,13.38,1995,2,3,17.1,8.6,54.4,12.979
71.5,2,5,6.34,1990,2,2,28.4,6.8,50.5,12.641
98.2,1,5,15.53,1973,0,2,23.3,7.0,55.0,11.156
70.3,3,8,2.39,2024,1,2,33.2,5.2,40.8,15.531
94.7,1,3,5.97,2007,5,1,12.9,6.6,59.8,9.597
34.6,2,9,13.54,1985,1,2,17.5,6.8,51.6,8.895
65.3,2,9,9.75,1998,1,3,20.9,3.0,49.8,4.531
52.8,3,5,6.57,2024,0,0,12.7,5.4,44.9,2.377
48.9,1,3,7.5,1961,5,2,22.5,6.0,52.7,9.492
26.9,3,8,11.79,1999,1,0,8.6,6.7,46.1,5.526
60.9,1,3,11.05,1988,2,1,13.6,5.3,49.5,3.275
50.9,4,4,8.54,2007,2,1,19.3,5.2,45.2,9.6
84.0,2,12,11.24,2010,3,0,15.2,6.0,46.5,12.566
73.4,4,9,10.68,2002,2,2,26.8,4.4,50.0,17.654
79.8,1,9,4.53,2016,1,1,10.3,5.9,53.2,1.5
63.3,3,9,14.01,1998,4,2,29.0,4.6,58.5,21.043
47.7,2,4,8.85,1972,2,2,8.3,6.9,47.3,1.5
42.0,4,6,8.59,1997,2,1,27.3,5.3,51.4,12.053
52.9,3,6,8.45,1999,2,2,10.6,4.1,54.6,2.21
38.3,3,6,6.33,2021,1,3,10.4,6.8,56.2,2.988
85.4,4,9,8.22,2011,3,2,30.0,6.7,46.4,21.927
20.0,1,6,7.13,2016,0,2,19.6,5.3,45.6,1.5
63.0,4,1,5.82,2001,0,3,5.1,8.2,54.1,1.5
72.1,2,6,2.03,1995,2,2,20.2,7.9,50.6,7.637
72.1,3,9,9.87,2001,5,1,23.1,7.3,50.8,21.915
26.9,1,7,9.45,1996,1,0,19.2,7.0,55.1,5.472
71.5,1,8,2.0,2005,2,1,23.6,3.9,59.1,4.342
57.7,2,14,17.15,1992,1,2,8.6,4.4,59.9,3.789
78.5,2,3,16.02,2002,3,2,10.3,6.8,49.4,13.069
55.8,3,8,9.68,1992,3,0,16.8,6.1,53.9,11.951
54.6,2,8,9.16,1993,2,2,30.2,5.1,51.9,14.738
63.4,3,4,6.95,1993,0,4,16.5,5.6,54.0,3.558
51.3,2,11,13.09,2010,1,2,26.5,4.8,51.0,13.823
80.6,1,11,4.36,2002,2,1,17.4,7.1,45.0,5.621
82.9,3,7,6.06,2003,1,0,12.4,5.9,66.9,2.992
61.9,3,3,6.82,1962,4,0,23.4,7.2,55.7,14.829
49.3,5,9,14.89,2024,0,2,16.9,6.0,63.1,15.08
99.1,2,4,10.92,1973,0,3,29.5,5.7,48.6,12.777
67.9,3,6,7.93,2015,2,3,22.7,5.9,48.9,13.456
53.7,4,12,6.6,1975,2,0,14.8,8.7,49.9,10.22
20.7,1,8,2.18,1995,0,0,24.5,6.3,47.2,1.5
32.7,2,6,5.83,1985,2,2,21.7,8.1,47.6,6.321
39.1,2,4,13.21,1970,2,2,14.0,8.4,56.6,10.236
58.5,5,3,8.23,1969,4,4,25.8,7.9,51.1,21.62
42.6,3,11,8.91,1989,2,2,21.9,4.7,49.3,9.367
55.3,3,3,12.49,2023,1,1,16.0,7.1,57.3,13.293
